ds,Open,High,Low,ts,Adj Close,Volume
2020-01-30,162.839996,164.139999,161.929993,163.929993,161.625870,21889700
2020-01-31,163.320007,163.919998,160.029999,160.529999,158.273666,30439000
2020-02-03,161.600006,162.929993,161.490005,162.320007,160.038513,17403600
2020-02-04,164.309998,165.309998,164.160004,164.770004,162.454071,15994200
2020-02-05,166.479996,167.529999,165.690002,167.309998,164.958374,17807000
2020-02-06,167.889999,168.149994,166.759995,166.929993,164.583725,14768900
2020-02-07,166.289993,166.360001,164.399994,164.880005,162.562546,18029600
2020-02-10,164.559998,165.889999,164.460007,165.809998,163.479446,11428800
2020-02-11,166.789993,167.960007,166.270004,166.960007,164.613297,15005600
2020-02-12,168.020004,168.289993,167.279999,168.110001,165.747131,12123000
2020-02-13,167.220001,168.949997,167.110001,168.550003,166.180969,12649300
2020-02-14,168.699997,168.779999,167.339996,167.899994,165.540070,16006200
2020-02-18,167.500000,168.059998,166.429993,167.539993,165.185135,13412100
2020-02-19,168.169998,169.139999,167.529999,168.399994,166.033051,11084600
2020-02-20,167.899994,169.110001,166.589996,168.809998,166.437286,20383800
2020-02-21,168.149994,168.630005,166.330002,167.100006,164.751343,18729900
2020-02-24,161.860001,167.059998,161.100006,162.070007,159.792023,28239500
2020-02-25,162.520004,162.759995,155.960007,156.309998,154.112991,45047000
2020-02-26,157.050003,158.490005,154.220001,154.500000,152.328430,39465000
2020-02-27,151.350006,155.009995,148.820007,149.059998,146.964890,50530300
2020-02-28,144.850006,149.130005,143.910004,146.330002,144.273254,72757700
2020-03-02,147.970001,151.229996,145.389999,151.029999,148.907211,33569300
2020-03-03,151.089996,154.199997,146.309998,147.949997,145.870483,42941300
2020-03-04,150.279999,152.449997,148.520004,152.160004,150.021317,36195800
2020-03-05,148.839996,152.479996,145.490005,147.320007,145.249359,32729400
2020-03-06,142.710007,145.979996,140.990005,144.399994,142.370377,39688300
2020-03-09,134.130005,136.169998,130.259995,130.360001,128.527725,56320000
2020-03-10,134.710007,134.800003,128.020004,134.429993,132.540497,54432700
2020-03-11,130.919998,132.270004,124.169998,125.879997,124.110695,51354800
2020-03-12,116.769997,119.900002,111.599998,111.970001,110.396210,70114300
2020-03-13,118.309998,119.959999,109.550003,119.470001,117.790787,57915100
2020-03-16,108.620003,111.300003,101.430000,103.620003,102.163567,59095700
2020-03-17,104.959999,110.500000,100.610001,108.370003,106.846809,59344800
2020-03-18,103.050003,106.779999,96.250000,99.970001,98.564873,62296700
2020-03-19,99.660004,106.800003,95.690002,103.870003,102.410049,62654700
2020-03-20,106.120003,108.760002,100.449997,101.400002,99.974777,76203700
2020-03-23,101.900002,102.180000,95.910004,99.900002,98.495857,63534700
2020-03-24,105.370003,109.330002,99.930000,109.040001,107.507385,73386700
2020-03-25,109.480003,114.000000,106.019997,109.970001,108.843559,56043700
2020-03-26,111.540001,117.599998,111.199997,116.809998,115.613487,51657600
2020-03-27,112.250000,116.019997,110.870003,112.559998,111.407021,39931500
2020-03-30,113.239998,115.260002,110.800003,115.040001,113.861626,41552100
2020-03-31,114.599998,116.169998,111.959999,114.459999,113.287567,52948000
2020-04-01,108.699997,110.379997,105.529999,106.660004,105.567474,54224200
2020-04-02,105.720001,110.389999,104.570000,107.669998,106.567116,43774200
2020-04-03,106.589996,108.000000,102.599998,104.620003,103.548355,42189200
2020-04-06,109.089996,113.339996,109.019997,112.629997,111.476311,48708100
2020-04-07,116.879997,118.639999,112.389999,112.919998,111.763336,57546100
2020-04-08,114.879997,119.239998,113.290001,118.070000,116.860588,52822300
2020-04-09,121.919998,124.610001,121.330002,123.720001,122.452713,69666400
2020-04-13,122.849998,123.510002,119.120003,120.370003,119.137024,40198200
2020-04-14,123.900002,124.879997,121.300003,122.809998,121.552032,35089700
2020-04-15,117.860001,119.110001,116.660004,117.800003,116.593353,34809900
2020-04-16,118.089996,118.419998,114.559998,116.910004,115.712471,49501300
2020-04-17,121.900002,122.720001,120.059998,122.059998,120.809715,46250200
2020-04-20,119.589996,122.900002,119.040001,120.620003,119.384468,36700500
2020-04-21,117.419998,119.239998,116.480003,117.739998,116.533966,31608900
2020-04-22,120.320000,120.989998,118.769997,119.169998,117.949318,24407200
2020-04-23,120.110001,122.900002,119.680000,120.339996,119.107330,38571200
2020-04-24,121.529999,123.320000,120.089996,122.410004,121.156136,27155800
2020-04-27,123.949997,128.440002,123.860001,127.260002,125.956451,39021300
2020-04-28,131.119995,131.460007,127.279999,129.110001,127.787506,47292700
2020-04-29,133.490005,136.850006,131.880005,135.460007,134.072464,50390500
2020-04-30,131.899994,132.940002,130.139999,130.309998,128.975220,43727500
2020-05-01,127.150002,127.459999,123.290001,125.139999,123.858162,43352000
2020-05-04,123.599998,125.900002,122.250000,125.680000,124.392647,28498200
2020-05-05,128.070007,129.919998,126.099998,126.650002,125.352707,31209400
2020-05-06,127.489998,128.199997,125.000000,125.720001,124.432228,29836800
