ds,ts
2020-01-21,331.299988
2020-01-22,331.339996
2020-01-23,331.720001
2020-01-24,328.769989
2020-01-27,323.5
2020-01-28,326.890015
2020-01-29,326.619995
2020-01-30,327.679993
2020-01-31,321.730011
2020-02-03,324.119995
2020-02-04,329.059998
2020-02-05,332.859985
2020-02-06,333.980011
2020-02-07,332.200012
2020-02-10,334.679993
2020-02-11,335.26001
2020-02-12,337.420013
2020-02-13,337.059998
2020-02-14,337.600006
2020-02-18,336.730011
2020-02-19,338.339996
2020-02-20,336.950012
2020-02-21,333.480011
2020-02-24,322.420013
2020-02-25,312.649994
2020-02-26,311.5
2020-02-27,297.51001
2020-02-28,296.26001
2020-03-02,309.089996
2020-03-03,300.23999
2020-03-04,312.859985
2020-03-05,302.459991
2020-03-06,297.459991
2020-03-09,274.230011
2020-03-10,288.420013
2020-03-11,274.359985
2020-03-12,248.110001
2020-03-13,269.320007
2020-03-16,239.850006
2020-03-17,252.800003
2020-03-18,240
2020-03-19,240.509995
2020-03-20,228.800003
2020-03-23,222.949997
2020-03-24,243.149994
2020-03-25,246.789993
2020-03-26,261.200012
2020-03-27,253.419998
2020-03-30,261.649994
2020-03-31,257.75
2020-04-01,246.149994
2020-04-02,251.830002
2020-04-03,248.190002
2020-04-06,264.859985
2020-04-07,265.130005
2020-04-08,274.029999
2020-04-09,278.200012
2020-04-13,275.660004
2020-04-14,283.790009
2020-04-15,277.76001
2020-04-16,279.100006
2020-04-17,286.640015
2020-04-20,281.589996
2020-04-21,273.040009
2020-04-22,279.100006
2020-04-23,279.079987
2020-04-24,282.970001
2020-04-27,287.049988
2020-04-28,285.730011
2020-04-29,293.209991
2020-04-30,290.480011
2020-05-01,282.790009
2020-05-04,283.570007
2020-05-05,286.190002
2020-05-06,284.25
2020-05-07,287.679993
2020-05-08,292.440002
2020-05-11,292.5
2020-05-12,286.670013
2020-05-13,281.600006
2020-05-14,284.970001
2020-05-15,286.279999
2020-05-18,295
2020-05-19,291.970001
2020-05-20,296.929993
2020-05-21,294.880005
2020-05-22,295.440002
2020-05-26,299.079987
2020-05-27,303.529999
2020-05-28,302.970001
2020-05-29,304.320007
2020-06-01,305.549988
2020-06-02,308.079987
2020-06-03,312.179993
2020-06-04,311.359985
2020-06-05,319.339996
2020-06-08,323.200012
2020-06-09,320.790009
2020-06-10,319
2020-06-11,300.609985
2020-06-12,304.209991
2020-06-15,307.049988
2020-06-16,312.959991
2020-06-17,311.660004
2020-06-18,311.779999
2020-06-19,308.640015
2020-06-22,310.619995
2020-06-23,312.049988
2020-06-24,304.089996
2020-06-25,307.350006
2020-06-26,300.049988
2020-06-29,304.459991
2020-06-30,308.359985
2020-07-01,310.519989
2020-07-02,312.230011
2020-07-06,317.049988
