ds,Open,High,Low,ts,Adj Close,Volume
2020-01-30,144.899994,145.669998,144.289993,144.580002,142.464066,14711800
2020-01-31,145.169998,145.990005,145.089996,145.899994,143.764725,14538100
2020-02-03,144.949997,145.759995,144.119995,145.539993,143.648254,15310700
2020-02-04,143.990005,144.139999,143.059998,143.580002,141.713760,11388300
2020-02-05,142.300003,142.699997,141.899994,142.009995,140.164169,10782600
2020-02-06,142.179993,142.880005,142.000000,142.649994,140.795822,6683100
2020-02-07,144.220001,144.740005,143.869995,144.429993,142.552689,11374800
2020-02-10,145.100006,145.250000,144.679993,144.830002,142.947479,6699300
2020-02-11,144.589996,144.720001,143.940002,144.100006,142.227005,7784100
2020-02-12,143.369995,143.550003,142.990005,143.369995,141.506470,5595500
2020-02-13,143.440002,144.199997,143.270004,143.919998,142.049316,7883400
2020-02-14,144.759995,145.080002,144.449997,144.550003,142.671112,7137400
2020-02-18,145.339996,146.050003,144.919998,145.539993,143.648254,6909200
2020-02-19,145.119995,145.619995,144.979996,145.529999,143.638382,5707700
2020-02-20,146.080002,146.940002,146.000000,146.669998,144.763565,9332900
2020-02-21,147.800003,148.880005,147.649994,148.039993,146.115768,13860300
2020-02-24,150.830002,150.960007,150.000000,150.250000,148.297043,15929300
2020-02-25,150.210007,151.759995,150.139999,151.050003,149.086624,20802900
2020-02-26,149.949997,151.720001,149.580002,150.250000,148.297043,22589500
2020-02-27,152.699997,153.080002,150.830002,151.880005,149.905853,30687900
2020-02-28,154.449997,155.979996,154.160004,155.309998,153.291245,45010800
2020-03-02,155.300003,156.500000,153.759995,153.940002,152.163452,28152400
2020-03-03,153.809998,159.699997,152.360001,156.330002,154.525879,38608000
2020-03-04,156.410004,157.350006,154.190002,154.669998,152.885025,23463700
2020-03-05,157.130005,158.820007,156.809998,158.520004,156.690582,17786200
2020-03-06,167.300003,169.330002,164.110001,166.770004,164.845383,76288300
2020-03-09,179.100006,179.699997,170.339996,171.289993,169.313217,41552800
2020-03-10,169.639999,172.929993,162.029999,162.509995,160.634567,37728300
2020-03-11,165.429993,167.029999,155.630005,156.529999,154.723557,29519300
2020-03-12,163.509995,166.360001,155.660004,157.500000,155.682358,24361800
2020-03-13,155.000000,158.199997,152.190002,153.940002,152.163452,19812900
2020-03-16,160.380005,166.149994,157.809998,163.910004,162.018402,30496700
2020-03-17,163.500000,165.630005,152.710007,152.979996,151.214523,18570900
2020-03-18,152.839996,154.139999,139.009995,144.350006,142.684113,47061000
2020-03-19,146.949997,153.449997,145.250000,148.279999,146.568771,21175300
2020-03-20,153.300003,159.429993,152.110001,159.429993,157.590103,20863100
2020-03-23,157.500000,166.690002,156.570007,166.000000,164.084259,19971800
2020-03-24,161.250000,165.449997,160.410004,162.910004,161.029922,11948600
2020-03-25,163.589996,166.679993,161.619995,162.539993,160.664200,10750600
2020-03-26,164.000000,165.679993,162.270004,163.339996,161.454971,10576200
2020-03-27,165.520004,168.250000,164.589996,167.699997,165.764664,12550000
2020-03-30,168.300003,170.110001,165.940002,166.320007,164.400574,13473200
2020-03-31,165.699997,166.919998,164.559998,164.970001,163.066147,11464800
2020-04-01,168.479996,168.960007,166.399994,167.039993,165.350815,11334700
2020-04-02,168.830002,169.220001,167.259995,168.100006,166.400131,5771200
2020-04-03,168.550003,170.330002,168.139999,168.500000,166.796051,6570800
2020-04-06,167.000000,168.270004,166.529999,168.059998,166.360489,9434800
2020-04-07,164.960007,166.419998,163.710007,166.300003,164.618286,13811400
2020-04-08,165.110001,166.190002,164.130005,165.089996,163.420532,10147100
2020-04-09,164.279999,165.789993,163.779999,165.389999,163.717468,14260800
2020-04-13,164.750000,165.710007,163.880005,163.880005,162.222778,8750300
2020-04-14,163.839996,164.740005,163.479996,163.839996,162.183167,9019100
2020-04-15,166.800003,168.600006,166.740005,168.179993,166.479263,10027800
2020-04-16,169.259995,170.320007,169.020004,170.089996,168.369995,8265400
2020-04-17,169.820007,170.839996,167.270004,167.809998,166.113007,8612100
2020-04-20,168.440002,169.289993,167.960007,169.160004,167.449356,6462600
2020-04-21,171.929993,172.149994,170.779999,171.289993,169.557831,7850700
2020-04-22,169.970001,170.389999,168.710007,169.539993,167.825500,6230200
2020-04-23,169.869995,170.929993,169.610001,170.440002,168.716415,5968600
2020-04-24,169.610001,170.839996,169.570007,170.839996,169.112381,6211800
2020-04-27,169.660004,169.750000,167.440002,167.660004,165.964584,9039500
2020-04-28,168.550003,169.850006,168.449997,169.589996,167.875031,9905400
2020-04-29,169.529999,170.259995,167.960007,168.710007,167.003922,8619600
2020-04-30,168.740005,169.229996,166.710007,166.740005,165.053848,11606100
2020-05-01,167.500000,168.110001,166.440002,167.949997,166.467270,10209400
2020-05-04,167.559998,167.679993,166.479996,167.160004,165.684235,8300900
2020-05-05,165.570007,166.270004,165.270004,166.089996,164.623688,7831800
2020-05-06,163.229996,163.639999,162.050003,163.410004,161.967346,14721500
